,internal_id,h3_index,latitude,longitude,name,tags,categories,place_id,address,timezone,temporarily_closed,permanently_closed,inside_of,price_level,contact_phone,contact_website,number_of_reviews,rating_stars,spending_time_min,spending_time_max,has_popularity,has_opening_hours,has_waiting_time
385,0x130e501edd9decfd:0x8d0a466f53a94444,8f3f304e1d2baa8,35.8985119,14.452523800000002,Rogolin Bakery,{bakery},{cafe},ChIJ_eyd3R5QDhMRRESpU29GCo0,{11 Triq It- Tliet KnejjesBalzanMalta},Europe/Malta,False,False,,1.0,35699353964.0,,61.0,4.6,10.0,10.0,False,True,False
386,0x130e501f1c2f7dbb:0x9c8f6926175863cd,8f3f304e1d2c683,35.8989842,14.451763199999998,Steve Stationery and Bazaar,{stationery_store},{shopping},ChIJu30vHB9QDhMRzWNYFyZpj5w,{Guze BonniciBalzan BZN 1020Malta},Europe/Malta,False,False,,,35621490106.0,,28.0,4.8,15.0,15.0,False,True,False
387,0x130e501f18c18787:0xb5b1f71a74f335,8f3f304e1d2e0b0,35.8987506,14.451406599999999,Balzan Parish Church,{church},{religious_building},ChIJh4fBGB9QDhMRNfN0GvextQA,{84 Triq il-KbiraĦal BalzanMalta},Europe/Malta,False,False,,,35621448333.0,http://www.balzanparish.com/,125.0,4.6,,,False,False,False
388,0x130e501f196b133f:0x563a6e80caea7bc2,8f3f304e1d2e8c1,35.898919299999996,14.4514779,Fra Giuseppe,{wine_bar},{drinks},ChIJPxNrGR9QDhMRwnvqyoBuOlY,{3 Triq Dun Spir Sammut BalzanBZN 1020Malta},Europe/Malta,False,False,,2.0,35699449925.0,https://fragiuseppe.com/,482.0,4.5,90.0,210.0,True,True,True
389,0x130e501f46b03041:0x253ac7a299790c1e,8f3f304e1d31361,35.8983649,14.450265400000001,Talaham Butcher Shop,{butcher_shop},{groceries},ChIJQTCwRh9QDhMRHgx5maLHOiU,{1 Triq San ValentinBalzanMalta},Europe/Malta,False,False,,,35621491337.0,http://www.talaham.com/,17.0,4.8,,,True,True,True
390,0x130e515ad6a8e02b:0xe2ca62cc3dae7a2c,8f3f304e1d31b2c,35.8985374,14.450151000000002,Hudson Confectionery,{wholesale_grocer},{wholesaler},ChIJK-Co1lpRDhMRLHquPcxiyuI,{212 Main StBalzanMalta},Europe/Malta,False,False,,,35621449581.0,,2.0,5.0,,,True,True,True
391,0x130e501f5b879a5f:0xf7b5436dffeb9de8,8f3f304e1d354f3,35.8985444,14.4495491,Church of the Assumption of the Blessed Virgin Mary,{church},{religious_building},ChIJX5qHWx9QDhMR6J3r_21Dtfc,{VCXX+CR7BalzanMalta},Europe/Malta,False,False,,,,http://www.gcatholic.org/churches/malta/44196.htm,4.0,5.0,,,False,False,False
392,0x130e5021e49c306f:0xab6fcc044e0d082a,8f3f304e1d36996,35.898430100000006,14.448661999999999,Skarpoli Shoe Repairs,{shoe_repair_shop},{service},ChIJbzCc5CFQDhMRKggNTgTMb6s,{Main StBalzanMalta},Europe/Malta,False,False,,,35627484753.0,,55.0,4.9,10.0,10.0,True,True,True
393,0x130e511f31af8c85:0xca9c318efc8abcbe,8f3f304e1d400aa,35.8980739,14.4550346,Red Rose,{massage_spa},{misc},ChIJhYyvMR9RDhMRvryK_I4xnMo,{29 Triq il-Wied Hal-BalzanBalzanMalta},Europe/Malta,False,False,,,35699249381.0,,1.0,5.0,,,False,False,False
394,0x130e501ea8def389:0x8276729784bd91ef,8f3f304e1d5184d,35.8974469,14.454576300000001,Il-Qronfla,{flower_delivery},{service},ChIJifPeqB5QDhMR75G9hJdydoI,{Main StBalzanMalta},Europe/Malta,False,False,,,35621442600.0,http://www.qronfla.com/,60.0,4.5,15.0,15.0,True,True,True
395,0x130e501ea8ea0933:0xf162790b59279283,8f3f304e1d552dc,35.8975499,14.454446300000003,Balzan Pharmacy,{pharmacy},{medical},ChIJMwnqqB5QDhMRg5InWQt5YvE,{70 Triq San FrangiskBalzanMalta},Europe/Malta,False,False,,,35621444035.0,,24.0,4.3,10.0,45.0,True,True,True
396,0x130e501c0f1ff8eb:0xa17fe6d8a815be45,8f3f304e1d5cc42,35.897338,14.454954,Techworld balzan,{phone_repair_service},{service},ChIJ6_gfDxxQDhMRRb4VqNjmf6E,{BZN1258Triq il-KbiraĦal BalzanMalta},Europe/Malta,False,True,,,35621448603.0,http://www.techworldmalta.com/,3.0,5.0,,,False,False,False
397,0x130e512c2df43a63:0x8fe2f43fa800dd1f,8f3f304e1d63968,35.89920479999999,14.455034900000001,Rusk Hair Salon,{unisex_hairdresserbeauty_salon},{beauty},ChIJYzr0LSxRDhMRH90AqD_04o8,{48 Triq il-Wied Hal-BalzanBalzanMalta},Europe/Malta,False,False,,,35621444552.0,,16.0,5.0,,,False,True,False
398,0x130e501ec424ed3d:0x71aa019725471eb3,8f3f304e1d72c90,35.898015,14.4530051,TACS Malta,{accounting_firmfinancial_audittax_preparation_service},{service},ChIJPe0kxB5QDhMRsx5HJZcBqnE,{1 Tal-Providenza Mansions BZN1254Triq il-KbiraĦal BalzanMalta},Europe/Malta,False,False,,,35699265894.0,http://tacsmalta.com/,,,,,False,True,False
